idade,genero,estado,frequencia,combustivel,abastecimento,renda,posto,importancia,fidelidade-postos,aplicativo,motivo,conveniencia,classificacao
36-49 anos,Feminino,Para,Semanalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Bahia,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,3
18-24 anos,Feminino,Mato Grosso do Sul,Diariamente,Diesel,Sempre completo,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Masculino,Rio de Janeiro,2-4 vezes na semana,GNV,Sempre completo,Principal fonte de renda,Ipiranga,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
18-24 anos,Masculino,Roraima,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Cashback,Não,3
18-24 anos,Feminino,Rio de Janeiro,2-4 vezes na semana,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Cashback,Sim,5
25-35 anos,Feminino,Bahia,Quinzenalmente,Elétrico,Completo as vezes,Lazer,Ipiranga,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Masculino,Ceara,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Localização,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Parana,Quinzenalmente,Etanol,Completo as vezes,Lazer,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Cashback,Sim,3
36-49 anos,Feminino,Espirito Santo,Semanalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Não conheço,Cashback,Sim,5
25-35 anos,Masculino,Minas Gerais,Semanalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Preço,Não,Conheço mas não utilizo,Cashback,Não,5
36-49 anos,Feminino,Para,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Localização,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
25-35 anos,Feminino,Rio de Janeiro,Semanalmente,GNV,Completo as vezes,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Feminino,Sergipe,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
25-35 anos,Masculino,Rio de Janeiro,Quinzenalmente,Etanol,Conforme o uso,Lazer,Ipiranga,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Não,5
36-49 anos,Feminino,Rondonia,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Sim,Conheço e utilizo,Cashback,Não,4
Mais de 50 anos,Feminino,Alagoas,Quinzenalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,3
36-49 anos,Feminino,Espirito Santo,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Feminino,Alagoas,Quinzenalmente,Etanol,Sempre completo,Principal fonte de renda,Ipiranga,Qualidade do combustível,Sim,Não conheço,Cashback,Não,5
Mais de 50 anos,Feminino,Mato Grosso do Sul,Semanalmente,Etanol,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,3
18-24 anos,Feminino,Amazonas,Diariamente,GNV,Sempre completo,Lazer,Ipiranga,Localização,Sim,Não conheço,Descontos em abastecimento/serviços,Não,5
25-35 anos,Masculino,Espirito Santo,2-4 vezes na semana,Diesel,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Feminino,Roraima,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Ipiranga,Preço,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Ceara,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Ipiranga,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,4
36-49 anos,Feminino,Maranhao,2-4 vezes na semana,Elétrico,Sempre completo,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Não conheço,Cashback,Não,4
36-49 anos,Masculino,Rio de Janeiro,Diariamente,Diesel,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Bahia,Semanalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Localização,Não,Conheço e utilizo,Cashback,Não,5
25-35 anos,Masculino,Amapa,Diariamente,Elétrico,Completo as vezes,Lazer,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Amazonas,Diariamente,Etanol,Completo as vezes,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Sim,Conheço mas não utilizo,Cashback,Não,5
25-35 anos,Feminino,Mato Grosso do Sul,Diariamente,GNV,Sempre completo,Locomoção para o trabalho,Ipiranga,Atendimento,Não,Conheço e utilizo,Cashback,Não,5
18-24 anos,Feminino,Rio Grande do Norte,Quinzenalmente,Elétrico,Completo as vezes,Lazer,Ipiranga,Localização,Sim,Não conheço,Cashback,Não,4
18-24 anos,Masculino,Mato Grosso do Sul,Semanalmente,Elétrico,Sempre completo,Principal fonte de renda,Ipiranga,Localização,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Espirito Santo,2-4 vezes na semana,Gasolina comum,Sempre completo,Principal fonte de renda,Ipiranga,Loja de Conveniência,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Masculino,Rio de Janeiro,Semanalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Localização,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Rondonia,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Ipiranga,Preço,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Masculino,Distrito Federal,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Atendimento,Sim,Não conheço,Cashback,Não,5
Mais de 50 anos,Masculino,Espirito Santo,Semanalmente,Diesel,Conforme o uso,Lazer,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Feminino,Mato Grosso do Sul,Semanalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ipiranga,Atendimento,Não,Utilizo outros,Cashback,Não,3
25-35 anos,Feminino,Amapa,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Sim,5
25-35 anos,Feminino,Rio Grande do Norte,Semanalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,3
36-49 anos,Feminino,Rio Grande do Sul,Quinzenalmente,Elétrico,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Não conheço,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Rio de Janeiro,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Preço,Sim,Não conheço,Cashback,Não,4
25-35 anos,Masculino,Pernambuco,Diariamente,GNV,Conforme o uso,Lazer,Ipiranga,Atendimento,Não,Não conheço,Cashback,Não,5
18-24 anos,Feminino,Maranhao,Diariamente,Diesel,Completo as vezes,Locomoção para o trabalho,Ipiranga,Preço,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Mato Grosso do Sul,Quinzenalmente,Diesel,Completo as vezes,Principal fonte de renda,Ipiranga,Preço,Não,Conheço e utilizo,Cashback,Sim,3
Mais de 50 anos,Feminino,Parana,Diariamente,Gasolina comum,Sempre completo,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
18-24 anos,Feminino,Para,Semanalmente,GNV,Conforme o uso,Locomoção para o trabalho,Ipiranga,Localização,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Sergipe,Semanalmente,Gasolina Aditivada,Completo as vezes,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Feminino,Santa Catarina,Semanalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,4
18-24 anos,Feminino,Rio de Janeiro,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Conheço mas não utilizo,Cashback,Não,3
Mais de 50 anos,Masculino,Maranhao,Diariamente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Preço,Não,Conheço mas não utilizo,Cashback,Não,5
25-35 anos,Feminino,Mato Grosso do Sul,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Atendimento,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Maranhao,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Rio de Janeiro,Diariamente,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Feminino,Alagoas,Diariamente,GNV,Sempre completo,Locomoção para o trabalho,Ipiranga,Loja de Conveniência,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,3
18-24 anos,Feminino,Mato Grosso,2-4 vezes na semana,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Ipiranga,Preço,Sim,Não conheço,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Feminino,Rio de Janeiro,2-4 vezes na semana,GNV,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Não conheço,Cashback,Não,4
Mais de 50 anos,Feminino,Alagoas,Diariamente,Etanol,Conforme o uso,Lazer,Ipiranga,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,5
36-49 anos,Feminino,Mato Grosso do Sul,Diariamente,GNV,Completo as vezes,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Não,4
Mais de 50 anos,Masculino,Sergipe,Diariamente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
18-24 anos,Masculino,Bahia,2-4 vezes na semana,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Rio de Janeiro,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Preço,Não,Utilizo outros,Cashback,Sim,3
18-24 anos,Feminino,Mato Grosso do Sul,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Ipiranga,Preço,Não,Não conheço,Cashback,Não,5
18-24 anos,Feminino,Rio de Janeiro,Diariamente,Elétrico,Sempre completo,Principal fonte de renda,Ipiranga,Preço,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,4
18-24 anos,Feminino,Acre,Quinzenalmente,Etanol,Completo as vezes,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Feminino,Rio de Janeiro,Quinzenalmente,Diesel,Sempre completo,Locomoção para o trabalho,Ipiranga,Preço,Sim,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
25-35 anos,Masculino,Rio de Janeiro,Diariamente,Gasolina comum,Completo as vezes,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Amazonas,Semanalmente,Elétrico,Sempre completo,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Não,Conheço e utilizo,Cashback,Não,5
18-24 anos,Feminino,Rio Grande do Sul,Diariamente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Ipiranga,Localização,Não,Não conheço,Cashback,Não,5
Mais de 50 anos,Masculino,Mato Grosso,2-4 vezes na semana,GNV,Sempre completo,Principal fonte de renda,Ipiranga,Loja de Conveniência,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,3
Mais de 50 anos,Masculino,Sao Paulo,Quinzenalmente,Gasolina comum,Completo as vezes,Locomoção para o trabalho,Ipiranga,Loja de Conveniência,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Rio de Janeiro,2-4 vezes na semana,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Ipiranga,Atendimento,Não,Não conheço,Cashback,Não,5
18-24 anos,Masculino,Rondonia,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Amapa,Semanalmente,GNV,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Piaui,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Não,5
36-49 anos,Masculino,Alagoas,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Rio de Janeiro,Diariamente,GNV,Sempre completo,Lazer,Ipiranga,Loja de Conveniência,Sim,Conheço mas não utilizo,Cashback,Não,3
Mais de 50 anos,Feminino,Maranhao,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Cashback,Sim,5
18-24 anos,Masculino,Minas Gerais,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Localização,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Roraima,Semanalmente,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Ipiranga,Atendimento,Não,Não conheço,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Santa Catarina,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Ipiranga,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,3
Mais de 50 anos,Feminino,Roraima,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Masculino,Sergipe,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
18-24 anos,Feminino,Paraiba,Diariamente,Etanol,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Mato Grosso,Quinzenalmente,GNV,Conforme o uso,Locomoção para o trabalho,Ipiranga,Atendimento,Sim,Utilizo outros,Cashback,Sim,5
18-24 anos,Feminino,Rio de Janeiro,Quinzenalmente,Etanol,Conforme o uso,Lazer,Ipiranga,Preço,Sim,Utilizo outros,Cashback,Sim,3
Mais de 50 anos,Feminino,Rio de Janeiro,Diariamente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Sim,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Distrito Federal,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Não,Não conheço,Cashback,Sim,5
25-35 anos,Feminino,Maranhao,Semanalmente,GNV,Sempre completo,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Não,Não conheço,Cashback,Não,4
36-49 anos,Masculino,Para,Diariamente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Masculino,Bahia,Semanalmente,Elétrico,Completo as vezes,Lazer,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Masculino,Mato Grosso do Sul,Diariamente,Diesel,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,3
36-49 anos,Masculino,Mato Grosso do Sul,Diariamente,Elétrico,Completo as vezes,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,3
18-24 anos,Feminino,Pernambuco,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Sergipe,Diariamente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Masculino,Rio de Janeiro,Diariamente,Etanol,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Masculino,Acre,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Atendimento,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,4
36-49 anos,Feminino,Mato Grosso do Sul,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Loja de Conveniência,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Masculino,Mato Grosso,Quinzenalmente,Diesel,Conforme o uso,Lazer,Ipiranga,Localização,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Masculino,Acre,Semanalmente,Etanol,Completo as vezes,Lazer,Ipiranga,Atendimento,Não,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Rio Grande do Norte,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ipiranga,Preço,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Mato Grosso,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Masculino,Maranhao,Diariamente,Gasolina comum,Sempre completo,Lazer,Ipiranga,Localização,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Rio de Janeiro,Diariamente,Gasolina Aditivada,Conforme o uso,Lazer,Ipiranga,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
18-24 anos,Feminino,Rio de Janeiro,Quinzenalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Distrito Federal,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Localização,Sim,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Masculino,Distrito Federal,Diariamente,Diesel,Conforme o uso,Lazer,Ipiranga,Preço,Não,Conheço e utilizo,Cashback,Não,5
18-24 anos,Feminino,Goias,Quinzenalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Ipiranga,Localização,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Masculino,Pernambuco,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,4
Mais de 50 anos,Masculino,Pernambuco,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Mato Grosso do Sul,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Sim,Conheço e utilizo,Cashback,Não,5
36-49 anos,Feminino,Goias,Quinzenalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Ipiranga,Atendimento,Não,Não conheço,Cashback,Sim,3
36-49 anos,Masculino,Santa Catarina,Diariamente,Diesel,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Feminino,Sao Paulo,Semanalmente,Elétrico,Completo as vezes,Lazer,Ipiranga,Qualidade do combustível,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,3
36-49 anos,Feminino,Mato Grosso,Diariamente,GNV,Conforme o uso,Principal fonte de renda,Ipiranga,Atendimento,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Paraiba,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Loja de Conveniência,Sim,Utilizo outros,Cashback,Não,4
Mais de 50 anos,Masculino,Rondonia,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,4
Mais de 50 anos,Masculino,Roraima,2-4 vezes na semana,Gasolina comum,Conforme o uso,Lazer,Ipiranga,Atendimento,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,3
36-49 anos,Feminino,Amazonas,Quinzenalmente,Gasolina comum,Sempre completo,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Sim,Conheço mas não utilizo,Cashback,Sim,5
25-35 anos,Masculino,Para,2-4 vezes na semana,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Rio de Janeiro,Quinzenalmente,Etanol,Completo as vezes,Principal fonte de renda,Ipiranga,Qualidade do combustível,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,3
Mais de 50 anos,Feminino,Amapa,Quinzenalmente,Diesel,Completo as vezes,Principal fonte de renda,Ipiranga,Preço,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Roraima,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Masculino,Paraiba,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Preço,Não,Conheço e utilizo,Cashback,Não,4
25-35 anos,Masculino,Sao Paulo,Quinzenalmente,GNV,Sempre completo,Locomoção para o trabalho,Ipiranga,Atendimento,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Masculino,Rio de Janeiro,Diariamente,Gasolina comum,Sempre completo,Principal fonte de renda,Ipiranga,Atendimento,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Para,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Roraima,Quinzenalmente,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Ipiranga,Preço,Não,Conheço e utilizo,Cashback,Não,3
Mais de 50 anos,Masculino,Goias,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Ipiranga,Atendimento,Sim,Utilizo outros,Cashback,Não,3
25-35 anos,Feminino,Amapa,Quinzenalmente,GNV,Sempre completo,Principal fonte de renda,Ipiranga,Preço,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
25-35 anos,Feminino,Sergipe,Quinzenalmente,Diesel,Completo as vezes,Lazer,Ipiranga,Preço,Sim,Conheço e utilizo,Cashback,Sim,5
36-49 anos,Feminino,Mato Grosso,Quinzenalmente,Diesel,Conforme o uso,Lazer,Ipiranga,Localização,Não,Conheço mas não utilizo,Cashback,Não,3
18-24 anos,Feminino,Amapa,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Não conheço,Cashback,Não,5
Mais de 50 anos,Feminino,Acre,Semanalmente,Gasolina comum,Sempre completo,Lazer,Ipiranga,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Feminino,Rio Grande do Sul,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Mato Grosso,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Não conheço,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Para,2-4 vezes na semana,Diesel,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Para,Quinzenalmente,Etanol,Completo as vezes,Principal fonte de renda,Ipiranga,Localização,Não,Utilizo outros,Cashback,Não,3
Mais de 50 anos,Feminino,Alagoas,Diariamente,Diesel,Completo as vezes,Principal fonte de renda,Ipiranga,Atendimento,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Maranhao,2-4 vezes na semana,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,4
36-49 anos,Masculino,Rio de Janeiro,Semanalmente,Diesel,Completo as vezes,Lazer,Ipiranga,Atendimento,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
25-35 anos,Feminino,Rio de Janeiro,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Feminino,Rio de Janeiro,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Atendimento,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Masculino,Espirito Santo,Diariamente,Gasolina Aditivada,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Não conheço,Cashback,Não,5
